CubeToaster
Type Ctrl-C or Ctrl-Z (whichever one works) to quit the program.

Same number of people for all events other than 4BLD, 5BLD, multi BLD, and FMC? (y/n) How many competitors do you want in each heat? There will be 9 heats in 4x4 Cube
There will be 1 heats in 5x5 Cube: Blindfolded
There will be 2 heats in Rubik's Cube: Multiple Blindfolded
There will be 3 heats in 6x6 Cube
There will be 4 heats in Square-1
There will be 18 heats in Rubik's Cube
There will be 3 heats in Rubik's Cube: Fewest moves
There will be 4 heats in 5x5 Cube
There will be 3 heats in 7x7 Cube
There will be 13 heats in Pyraminx
There will be 2 heats in Rubik's Cube: With feet
There will be 4 heats in Rubik's Cube: Blindfolded
There will be 1 heats in 4x4 Cube: Blindfolded
There will be 3 heats in Megaminx
There will be 3 heats in Rubik's Clock
There will be 10 heats in Skewb
There will be 8 heats in Rubik's Cube: One-Handed
There will be 16 heats in 2x2 Cube
heatsDict[event] 9
{'wcaId': '1985FAKE83', 'heat': 1, 'gender': 'm', 'id': '49', 'name': 'Abelson Antonio', 'countryId': 'CH'}
{'wcaId': '2012FAKE82', 'heat': 6, 'gender': 'm', 'id': '145', 'name': 'Igoe Brittney', 'countryId': 'US'}
{'wcaId': '1998FAKE6', 'heat': 7, 'gender': 'm', 'id': '96', 'name': 'Jamee Byrom', 'countryId': 'CA'}
{'wcaId': '2001FAKE50', 'heat': 8, 'gender': 'm', 'id': '197', 'name': 'Jamee Byrom', 'countryId': 'US'}
{'wcaId': '1990FAKE64', 'heat': 9, 'gender': 'm', 'id': '116', 'name': 'Jamee Clow', 'countryId': 'IN'}
{'wcaId': '1994FAKE31', 'heat': 1, 'gender': 'm', 'id': '20', 'name': 'Jamee Samuels', 'countryId': 'CA'}
{'wcaId': '1998FAKE5', 'heat': 2, 'gender': 'm', 'id': '219', 'name': 'Lakesha Coreen', 'countryId': 'US'}
{'wcaId': '1995FAKE90', 'heat': 3, 'gender': 'm', 'id': '28', 'name': 'Lakesha Lakesha', 'countryId': 'US'}
{'wcaId': '2009FAKE38', 'heat': 4, 'gender': 'm', 'id': '18', 'name': 'Laroque Valadez', 'countryId': 'US'}
{'wcaId': '2006FAKE63', 'heat': 5, 'gender': 'm', 'id': '253', 'name': 'Lesli Antonio', 'countryId': 'US'}
{'wcaId': '2002FAKE98', 'heat': 6, 'gender': 'm', 'id': '3', 'name': 'Lesli Farish', 'countryId': 'US'}
{'wcaId': '2003FAKE94', 'heat': 7, 'gender': 'm', 'id': '52', 'name': 'Lesli Haywood', 'countryId': 'US'}
{'wcaId': '2013FAKE63', 'heat': 8, 'gender': 'm', 'id': '124', 'name': 'Lesli Miera', 'countryId': 'US'}
{'wcaId': '2011FAKE82', 'heat': 9, 'gender': 'm', 'id': '17', 'name': 'Lesli Ogata', 'countryId': 'US'}
{'wcaId': '1983FAKE80', 'heat': 1, 'gender': 'm', 'id': '146', 'name': 'Lesli Valadez', 'countryId': 'US'}
{'wcaId': '1983FAKE37', 'heat': 2, 'gender': 'm', 'id': '9', 'name': 'Mcconn Carmela', 'countryId': 'US'}
{'wcaId': '1989FAKE97', 'heat': 3, 'gender': 'm', 'id': '7', 'name': 'Miera Antonio', 'countryId': 'US'}
{'wcaId': '2003FAKE33', 'heat': 4, 'gender': 'm', 'id': '228', 'name': 'Miera Carmela', 'countryId': 'US'}
{'wcaId': '2006FAKE39', 'heat': 5, 'gender': 'm', 'id': '169', 'name': 'Miera Domonique', 'countryId': 'IN'}
{'wcaId': '2006FAKE55', 'heat': 6, 'gender': 'm', 'id': '236', 'name': 'Miera Miera', 'countryId': 'US'}
{'wcaId': '1996FAKE12', 'heat': 7, 'gender': 'm', 'id': '37', 'name': 'Miera Yi', 'countryId': 'CA'}
{'wcaId': '1992FAKE90', 'heat': 8, 'gender': 'm', 'id': '11', 'name': 'Moriah Igoe', 'countryId': 'US'}
{'wcaId': '1998FAKE16', 'heat': 9, 'gender': 'm', 'id': '56', 'name': 'Moriah Nott', 'countryId': 'US'}
{'wcaId': '1998FAKE77', 'heat': 1, 'gender': 'm', 'id': '41', 'name': 'Ngan Vesta', 'countryId': 'US'}
{'wcaId': '1982FAKE98', 'heat': 2, 'gender': 'm', 'id': '189', 'name': 'Nott Hildegard', 'countryId': 'US'}
{'wcaId': '1997FAKE31', 'heat': 3, 'gender': 'm', 'id': '151', 'name': 'Nott Lesli', 'countryId': 'US'}
{'wcaId': '2002FAKE29', 'heat': 4, 'gender': 'm', 'id': '233', 'name': 'Ogata Shayla', 'countryId': 'CA'}
{'wcaId': '2001FAKE24', 'heat': 5, 'gender': 'm', 'id': '10', 'name': 'Pelaez Arnulfo', 'countryId': 'US'}
{'wcaId': '1998FAKE53', 'heat': 6, 'gender': 'm', 'id': '95', 'name': 'Poulson Jamee', 'countryId': 'US'}
{'wcaId': '2000FAKE64', 'heat': 7, 'gender': 'm', 'id': '171', 'name': 'Poulson Moriah', 'countryId': 'IN'}
{'wcaId': '1995FAKE87', 'heat': 8, 'gender': 'm', 'id': '62', 'name': 'Poulson Vesta', 'countryId': 'CA'}
{'wcaId': '2012FAKE61', 'heat': 9, 'gender': 'm', 'id': '38', 'name': 'Samuels Brittney', 'countryId': 'US'}
{'wcaId': '2002FAKE66', 'heat': 1, 'gender': 'm', 'id': '182', 'name': 'Saragosa Arnulfo', 'countryId': 'US'}
{'wcaId': '2010FAKE75', 'heat': 2, 'gender': 'f', 'id': '240', 'name': 'Saragosa Arturo', 'countryId': 'US'}
{'wcaId': '2010FAKE39', 'heat': 3, 'gender': 'm', 'id': '92', 'name': 'Saragosa Carmela', 'countryId': 'CA'}
{'wcaId': '2008FAKE80', 'heat': 4, 'gender': 'm', 'id': '4', 'name': 'Saragosa Gaeta', 'countryId': 'US'}
{'wcaId': '1985FAKE9', 'heat': 5, 'gender': 'm', 'id': '22', 'name': 'Saragosa Mcconn', 'countryId': 'US'}
{'wcaId': '1983FAKE14', 'heat': 6, 'gender': 'm', 'id': '35', 'name': 'Saragosa Stander', 'countryId': 'US'}
{'wcaId': '1991FAKE22', 'heat': 7, 'gender': 'm', 'id': '91', 'name': 'Shayla Mcconn', 'countryId': 'US'}
{'wcaId': '2004FAKE29', 'heat': 8, 'gender': 'm', 'id': '90', 'name': 'Shayla Saragosa', 'countryId': 'CA'}
{'wcaId': '2009FAKE53', 'heat': 9, 'gender': 'm', 'id': '2', 'name': 'Shayla Yi', 'countryId': 'US'}
{'wcaId': '2001FAKE61', 'heat': 1, 'gender': 'm', 'id': '234', 'name': 'Stander Byrom', 'countryId': 'US'}
{'wcaId': '1998FAKE17', 'heat': 2, 'gender': 'm', 'id': '157', 'name': 'Stander Igoe', 'countryId': 'US'}
{'wcaId': '2000FAKE12', 'heat': 3, 'gender': 'm', 'id': '25', 'name': 'Stander Lesli', 'countryId': 'US'}
{'wcaId': '2014FAKE63', 'heat': 4, 'gender': 'm', 'id': '192', 'name': 'Stander Shayla', 'countryId': 'US'}
{'wcaId': '1984FAKE54', 'heat': 5, 'gender': 'm', 'id': '27', 'name': 'Stander Trent', 'countryId': 'CA'}
{'wcaId': '1993FAKE42', 'heat': 6, 'gender': 'f', 'id': '31', 'name': 'Tona Antonio', 'countryId': 'US'}
{'wcaId': '1984FAKE92', 'heat': 7, 'gender': 'm', 'id': '212', 'name': 'Tona Coreen', 'countryId': 'US'}
{'wcaId': '1986FAKE22', 'heat': 8, 'gender': 'f', 'id': '155', 'name': 'Tona Lesli', 'countryId': 'CA'}
{'wcaId': '1982FAKE41', 'heat': 9, 'gender': 'm', 'id': '204', 'name': 'Trent Brittney', 'countryId': 'US'}
{'wcaId': '1995FAKE92', 'heat': 1, 'gender': 'm', 'id': '93', 'name': 'Trent Haywood', 'countryId': 'CA'}
{'wcaId': '1995FAKE85', 'heat': 2, 'gender': 'm', 'id': '138', 'name': 'Trent Mcconn', 'countryId': 'US'}
{'wcaId': '1994FAKE72', 'heat': 3, 'gender': 'm', 'id': '121', 'name': 'Trent Samuels', 'countryId': 'ES'}
{'wcaId': '2007FAKE32', 'heat': 4, 'gender': 'm', 'id': '129', 'name': 'Valadez Haywood', 'countryId': 'US'}
{'wcaId': '2000FAKE51', 'heat': 5, 'gender': 'm', 'id': '50', 'name': 'Valadez Laroque', 'countryId': 'CA'}
{'wcaId': '2011FAKE33', 'heat': 6, 'gender': 'm', 'id': '79', 'name': 'Valadez Samuels', 'countryId': 'US'}
{'wcaId': '1998FAKE44', 'heat': 7, 'gender': 'm', 'id': '99', 'name': 'Valadez Tona', 'countryId': 'US'}
{'wcaId': '1994FAKE80', 'heat': 8, 'gender': 'm', 'id': '244', 'name': 'Vesta Coreen', 'countryId': 'US'}
{'wcaId': '2013FAKE12', 'heat': 9, 'gender': 'm', 'id': '186', 'name': 'Vesta Domonique', 'countryId': 'US'}
{'wcaId': '1986FAKE19', 'heat': 1, 'gender': 'm', 'id': '238', 'name': 'Vinita Gaeta', 'countryId': 'US'}
{'wcaId': '2013FAKE4', 'heat': 2, 'gender': 'm', 'id': '81', 'name': 'Vinita Valadez', 'countryId': 'US'}
{'wcaId': '2004FAKE18', 'heat': 3, 'gender': 'm', 'id': '6', 'name': 'Virgilio Byrom', 'countryId': 'CA'}
{'wcaId': '1995FAKE58', 'heat': 4, 'gender': 'm', 'id': '226', 'name': 'Virgilio Coreen', 'countryId': 'US'}
{'wcaId': '1987FAKE44', 'heat': 5, 'gender': 'm', 'id': '69', 'name': 'Virgilio Nott', 'countryId': 'US'}
{'wcaId': '2003FAKE88', 'heat': 6, 'gender': 'm', 'id': '5', 'name': 'Virgilio Vesta', 'countryId': 'AU'}
{'wcaId': '2002FAKE23', 'heat': 7, 'gender': 'm', 'id': '120', 'name': 'Yi Brittney', 'countryId': 'US'}
{'wcaId': '1991FAKE36', 'heat': 8, 'gender': 'm', 'id': '161', 'name': 'Yi Clow', 'countryId': 'US'}
{'wcaId': '2013FAKE27', 'heat': 9, 'gender': 'm', 'id': '193', 'name': 'Yi Lesli', 'countryId': 'US'}
{'wcaId': '2012FAKE73', 'heat': 1, 'gender': 'm', 'id': '60', 'name': 'Yi Nott', 'countryId': 'US'}
{'wcaId': '1985FAKE33', 'heat': 2, 'gender': 'm', 'id': '133', 'name': 'Yi Pelaez', 'countryId': 'CA'}
{1: 12, 2: 12, 3: 11, 4: 11, 5: 11, 6: 11, 7: 11, 8: 11, 9: 11}
heatsDict[event] 2
{'wcaId': '2011FAKE22', 'heat': 1, 'gender': 'm', 'id': '13', 'name': 'Abelson Carmela', 'countryId': 'US'}
{'wcaId': '2010FAKE64', 'heat': 2, 'gender': 'm', 'id': '191', 'name': 'Antonio Lakesha', 'countryId': 'US'}
{'wcaId': '2013FAKE61', 'heat': 1, 'gender': 'f', 'id': '1', 'name': 'Antonio Tona', 'countryId': 'CN'}
{'wcaId': '1988FAKE8', 'heat': 2, 'gender': 'm', 'id': '117', 'name': 'Brittney Domonique', 'countryId': 'US'}
{'wcaId': '1996FAKE90', 'heat': 1, 'gender': 'm', 'id': '30', 'name': 'Brittney Vesta', 'countryId': 'US'}
{'wcaId': '2006FAKE47', 'heat': 2, 'gender': 'm', 'id': '231', 'name': 'Carmela Arturo', 'countryId': 'US'}
{'wcaId': '2009FAKE21', 'heat': 1, 'gender': 'm', 'id': '84', 'name': 'Coreen Saragosa', 'countryId': 'US'}
{'wcaId': '1983FAKE11', 'heat': 2, 'gender': 'm', 'id': '8', 'name': 'Farish Hildegard', 'countryId': 'US'}
{'wcaId': '2006FAKE37', 'heat': 1, 'gender': 'm', 'id': '88', 'name': 'Hildegard Stander', 'countryId': 'US'}
{'wcaId': '2005FAKE43', 'heat': 2, 'gender': 'm', 'id': '215', 'name': 'Hildegard Valadez', 'countryId': 'US'}
{'wcaId': '1998FAKE6', 'heat': 1, 'gender': 'm', 'id': '96', 'name': 'Jamee Byrom', 'countryId': 'CA'}
{'wcaId': '1994FAKE31', 'heat': 2, 'gender': 'm', 'id': '20', 'name': 'Jamee Samuels', 'countryId': 'CA'}
{'wcaId': '1995FAKE90', 'heat': 1, 'gender': 'm', 'id': '28', 'name': 'Lakesha Lakesha', 'countryId': 'US'}
{'wcaId': '2015FAKE93', 'heat': 2, 'gender': 'm', 'id': '128', 'name': 'Lakesha Ogata', 'countryId': 'US'}
{'wcaId': '2009FAKE38', 'heat': 1, 'gender': 'm', 'id': '18', 'name': 'Laroque Valadez', 'countryId': 'US'}
{'wcaId': '2011FAKE82', 'heat': 2, 'gender': 'm', 'id': '17', 'name': 'Lesli Ogata', 'countryId': 'US'}
{'wcaId': '1996FAKE12', 'heat': 1, 'gender': 'm', 'id': '37', 'name': 'Miera Yi', 'countryId': 'CA'}
{'wcaId': '1998FAKE53', 'heat': 2, 'gender': 'm', 'id': '95', 'name': 'Poulson Jamee', 'countryId': 'US'}
{'wcaId': '2008FAKE80', 'heat': 1, 'gender': 'm', 'id': '4', 'name': 'Saragosa Gaeta', 'countryId': 'US'}
{'wcaId': '1983FAKE14', 'heat': 2, 'gender': 'm', 'id': '35', 'name': 'Saragosa Stander', 'countryId': 'US'}
{'wcaId': '2009FAKE53', 'heat': 1, 'gender': 'm', 'id': '2', 'name': 'Shayla Yi', 'countryId': 'US'}
{'wcaId': '2000FAKE12', 'heat': 2, 'gender': 'm', 'id': '25', 'name': 'Stander Lesli', 'countryId': 'US'}
{'wcaId': '1984FAKE54', 'heat': 1, 'gender': 'm', 'id': '27', 'name': 'Stander Trent', 'countryId': 'CA'}
{'wcaId': '1984FAKE92', 'heat': 2, 'gender': 'm', 'id': '212', 'name': 'Tona Coreen', 'countryId': 'US'}
{'wcaId': '2003FAKE88', 'heat': 1, 'gender': 'm', 'id': '5', 'name': 'Virgilio Vesta', 'countryId': 'AU'}
{'wcaId': '1991FAKE36', 'heat': 2, 'gender': 'm', 'id': '161', 'name': 'Yi Clow', 'countryId': 'US'}
{'wcaId': '1985FAKE33', 'heat': 1, 'gender': 'm', 'id': '133', 'name': 'Yi Pelaez', 'countryId': 'CA'}
{1: 14, 2: 13}
heatsDict[event] 2
{'wcaId': '2011FAKE22', 'heat': 1, 'gender': 'm', 'id': '13', 'name': 'Abelson Carmela', 'countryId': 'US'}
{'wcaId': '2010FAKE64', 'heat': 2, 'gender': 'm', 'id': '191', 'name': 'Antonio Lakesha', 'countryId': 'US'}
{'wcaId': '2012FAKE10', 'heat': 1, 'gender': 'm', 'id': '97', 'name': 'Antonio Poulson', 'countryId': 'US'}
{'wcaId': '2009FAKE21', 'heat': 2, 'gender': 'm', 'id': '84', 'name': 'Coreen Saragosa', 'countryId': 'US'}
{'wcaId': '1983FAKE11', 'heat': 1, 'gender': 'm', 'id': '8', 'name': 'Farish Hildegard', 'countryId': 'US'}
{'wcaId': '1998FAKE6', 'heat': 2, 'gender': 'm', 'id': '96', 'name': 'Jamee Byrom', 'countryId': 'CA'}
{'wcaId': '1995FAKE90', 'heat': 1, 'gender': 'm', 'id': '28', 'name': 'Lakesha Lakesha', 'countryId': 'US'}
{'wcaId': '2009FAKE38', 'heat': 2, 'gender': 'm', 'id': '18', 'name': 'Laroque Valadez', 'countryId': 'US'}
{'wcaId': '2011FAKE82', 'heat': 1, 'gender': 'm', 'id': '17', 'name': 'Lesli Ogata', 'countryId': 'US'}
{'wcaId': '1989FAKE97', 'heat': 2, 'gender': 'm', 'id': '7', 'name': 'Miera Antonio', 'countryId': 'US'}
{'wcaId': '2001FAKE24', 'heat': 1, 'gender': 'm', 'id': '10', 'name': 'Pelaez Arnulfo', 'countryId': 'US'}
{'wcaId': '2006FAKE94', 'heat': 2, 'gender': 'm', 'id': '12', 'name': 'Poulson Ogata', 'countryId': 'US'}
{'wcaId': '2008FAKE80', 'heat': 1, 'gender': 'm', 'id': '4', 'name': 'Saragosa Gaeta', 'countryId': 'US'}
{'wcaId': '1985FAKE9', 'heat': 2, 'gender': 'm', 'id': '22', 'name': 'Saragosa Mcconn', 'countryId': 'US'}
{'wcaId': '2009FAKE53', 'heat': 1, 'gender': 'm', 'id': '2', 'name': 'Shayla Yi', 'countryId': 'US'}
{'wcaId': '2000FAKE12', 'heat': 2, 'gender': 'm', 'id': '25', 'name': 'Stander Lesli', 'countryId': 'US'}
{'wcaId': '2014FAKE63', 'heat': 1, 'gender': 'm', 'id': '192', 'name': 'Stander Shayla', 'countryId': 'US'}
{'wcaId': '2011FAKE47', 'heat': 2, 'gender': 'm', 'id': '98', 'name': 'Stander Tona', 'countryId': 'IN'}
{'wcaId': '1984FAKE54', 'heat': 1, 'gender': 'm', 'id': '27', 'name': 'Stander Trent', 'countryId': 'CA'}
{'wcaId': '1984FAKE92', 'heat': 2, 'gender': 'm', 'id': '212', 'name': 'Tona Coreen', 'countryId': 'US'}
{'wcaId': '1986FAKE22', 'heat': 1, 'gender': 'f', 'id': '155', 'name': 'Tona Lesli', 'countryId': 'CA'}
{'wcaId': '2013FAKE4', 'heat': 2, 'gender': 'm', 'id': '81', 'name': 'Vinita Valadez', 'countryId': 'US'}
{'wcaId': '2004FAKE18', 'heat': 1, 'gender': 'm', 'id': '6', 'name': 'Virgilio Byrom', 'countryId': 'CA'}
{'wcaId': '2003FAKE88', 'heat': 2, 'gender': 'm', 'id': '5', 'name': 'Virgilio Vesta', 'countryId': 'AU'}
{'wcaId': '1991FAKE36', 'heat': 1, 'gender': 'm', 'id': '161', 'name': 'Yi Clow', 'countryId': 'US'}
{1: 13, 2: 12}
heatsDict[event] 3
{'wcaId': '2011FAKE22', 'heat': 1, 'gender': 'm', 'id': '13', 'name': 'Abelson Carmela', 'countryId': 'US'}
{'wcaId': '2013FAKE61', 'heat': 2, 'gender': 'f', 'id': '1', 'name': 'Antonio Tona', 'countryId': 'CN'}
{'wcaId': '1988FAKE8', 'heat': 3, 'gender': 'm', 'id': '117', 'name': 'Brittney Domonique', 'countryId': 'US'}
{'wcaId': '2009FAKE21', 'heat': 1, 'gender': 'm', 'id': '84', 'name': 'Coreen Saragosa', 'countryId': 'US'}
{'wcaId': '1983FAKE11', 'heat': 2, 'gender': 'm', 'id': '8', 'name': 'Farish Hildegard', 'countryId': 'US'}
{'wcaId': '2010FAKE12', 'heat': 3, 'gender': 'm', 'id': '119', 'name': 'Gaeta Arnulfo', 'countryId': 'US'}
{'wcaId': '1996FAKE31', 'heat': 1, 'gender': 'm', 'id': '46', 'name': 'Hildegard Clow', 'countryId': 'US'}
{'wcaId': '2006FAKE37', 'heat': 2, 'gender': 'm', 'id': '88', 'name': 'Hildegard Stander', 'countryId': 'US'}
{'wcaId': '1998FAKE6', 'heat': 3, 'gender': 'm', 'id': '96', 'name': 'Jamee Byrom', 'countryId': 'CA'}
{'wcaId': '2001FAKE50', 'heat': 1, 'gender': 'm', 'id': '197', 'name': 'Jamee Byrom', 'countryId': 'US'}
{'wcaId': '1994FAKE31', 'heat': 2, 'gender': 'm', 'id': '20', 'name': 'Jamee Samuels', 'countryId': 'CA'}
{'wcaId': '1995FAKE90', 'heat': 3, 'gender': 'm', 'id': '28', 'name': 'Lakesha Lakesha', 'countryId': 'US'}
{'wcaId': '2009FAKE38', 'heat': 1, 'gender': 'm', 'id': '18', 'name': 'Laroque Valadez', 'countryId': 'US'}
{'wcaId': '2002FAKE98', 'heat': 2, 'gender': 'm', 'id': '3', 'name': 'Lesli Farish', 'countryId': 'US'}
{'wcaId': '2003FAKE94', 'heat': 3, 'gender': 'm', 'id': '52', 'name': 'Lesli Haywood', 'countryId': 'US'}
{'wcaId': '2011FAKE82', 'heat': 1, 'gender': 'm', 'id': '17', 'name': 'Lesli Ogata', 'countryId': 'US'}
{'wcaId': '1989FAKE97', 'heat': 2, 'gender': 'm', 'id': '7', 'name': 'Miera Antonio', 'countryId': 'US'}
{'wcaId': '1998FAKE16', 'heat': 3, 'gender': 'm', 'id': '56', 'name': 'Moriah Nott', 'countryId': 'US'}
{'wcaId': '1998FAKE53', 'heat': 1, 'gender': 'm', 'id': '95', 'name': 'Poulson Jamee', 'countryId': 'US'}
{'wcaId': '2012FAKE61', 'heat': 2, 'gender': 'm', 'id': '38', 'name': 'Samuels Brittney', 'countryId': 'US'}
{'wcaId': '2010FAKE39', 'heat': 3, 'gender': 'm', 'id': '92', 'name': 'Saragosa Carmela', 'countryId': 'CA'}
{'wcaId': '2008FAKE80', 'heat': 1, 'gender': 'm', 'id': '4', 'name': 'Saragosa Gaeta', 'countryId': 'US'}
{'wcaId': '1985FAKE9', 'heat': 2, 'gender': 'm', 'id': '22', 'name': 'Saragosa Mcconn', 'countryId': 'US'}
{'wcaId': '1983FAKE14', 'heat': 3, 'gender': 'm', 'id': '35', 'name': 'Saragosa Stander', 'countryId': 'US'}
{'wcaId': '2004FAKE29', 'heat': 1, 'gender': 'm', 'id': '90', 'name': 'Shayla Saragosa', 'countryId': 'CA'}
{'wcaId': '2009FAKE53', 'heat': 2, 'gender': 'm', 'id': '2', 'name': 'Shayla Yi', 'countryId': 'US'}
{'wcaId': '2000FAKE12', 'heat': 3, 'gender': 'm', 'id': '25', 'name': 'Stander Lesli', 'countryId': 'US'}
{'wcaId': '2014FAKE63', 'heat': 1, 'gender': 'm', 'id': '192', 'name': 'Stander Shayla', 'countryId': 'US'}
{'wcaId': '1984FAKE54', 'heat': 2, 'gender': 'm', 'id': '27', 'name': 'Stander Trent', 'countryId': 'CA'}
{'wcaId': '1984FAKE92', 'heat': 3, 'gender': 'm', 'id': '212', 'name': 'Tona Coreen', 'countryId': 'US'}
{'wcaId': '1986FAKE22', 'heat': 1, 'gender': 'f', 'id': '155', 'name': 'Tona Lesli', 'countryId': 'CA'}
{'wcaId': '1994FAKE72', 'heat': 2, 'gender': 'm', 'id': '121', 'name': 'Trent Samuels', 'countryId': 'ES'}
{'wcaId': '2007FAKE32', 'heat': 3, 'gender': 'm', 'id': '129', 'name': 'Valadez Haywood', 'countryId': 'US'}
{'wcaId': '2011FAKE33', 'heat': 1, 'gender': 'm', 'id': '79', 'name': 'Valadez Samuels', 'countryId': 'US'}
{'wcaId': '2013FAKE12', 'heat': 2, 'gender': 'm', 'id': '186', 'name': 'Vesta Domonique', 'countryId': 'US'}
{'wcaId': '2013FAKE4', 'heat': 3, 'gender': 'm', 'id': '81', 'name': 'Vinita Valadez', 'countryId': 'US'}
{'wcaId': '1987FAKE44', 'heat': 1, 'gender': 'm', 'id': '69', 'name': 'Virgilio Nott', 'countryId': 'US'}
{'wcaId': '2003FAKE88', 'heat': 2, 'gender': 'm', 'id': '5', 'name': 'Virgilio Vesta', 'countryId': 'AU'}
